company,founded,headquarters,purpose,use
Turbine,2015,"Budapest, Budapest, Hungary","Gain insights into how a drug works from the preclinical phase through phases I, II, and III",Simulate experiments
VERISIM Life,2017,"San Francisco, California, United States",Narrow the number of drug candidates that offer anticipated effects for specified diseases,Predict pharmacology of potential new drug candidates through pharmacokinetic and pharmacodynamic modeling and simulation
Variational AI,2019,"Vancouver, British Columbia, Canada","Optimize pharmacological activity, synthesizability, ADME, and toxicity",Organize drug-like molecules based upon their pharmacological properties
XtalPi,2014,"Cambridge, Massachusetts, United States","Understand the potential safety, stability, and efficacy of drug candidates",Predict the crystalized form a drug will take
Ardigen,2015,"Kraków, Malopolskie, Poland",Increase response rates to immunotherapies,Analyze microbiome and immune data for insights into immune responses
Cyclica,2013,"Toronto, Ontario, Canada","Explain mechanisms of action, and de novo design or optimize multi-targeted drug-like molecules with preferred pharmacokinetic properties while minimizing off-target interactions","Consider the polypharmacology, pharmacokinetics, and structural pharmacogenomics of molecules"
DeepMatter,2015,"Glasgow, Glasgow City, United Kingdom","Discover new molecules more efficiently, with better reproducibility",Analyze data on successful and unsuccessful chemical reactions
Fetch Biosciences,2019,"Toronto, Ontario, Canada",Engineer novel biomolecules with optimized functions,Understand structure-to-function relationships underpinning existing biomolecules
MAbSilico,2017,"Nouzilly, Centre, France","Characterize, find substitutes for, and identify potential off-target effects of a specified antibody","Predict antibody binding, similarity, and cross-reactivity"
Molecule.one,2016,"Warsaw, Mazowieckie, Poland",Input a chemical structure and receive reactions and synthesis pathways for it,Predict whether a particular chemical reaction will work
Molomics,2015,"Barcelona, Catalonia, Spain","Collaborate with each other (using what they call ""Human Collective Intelligence"") and AI to jointly develop safer and more effective therapeutics",Design structurally new small molecules for validated biological targets
Numerate,2007,"San Bruno, California, United States","Predict how a potential drug will behave in the lab and the body, with a focus on neurodegeneration, cardiovascular disease, and oncology","Analyze public and private data, with a claim to work with less data, noisier data, and more biased data than alternative approaches"
Pending.ai,2018,"Wollongong, New South Wales, Australia","Generate novel molecules with neural networks, do structure-based drug design, plan chemical synthesis, and conduct high-throughput chemistry","Learn chemistry from a database of more than 130 million compounds, 20 million reactions, and 146,000 proteins"
Pepticom,2011,"Jerusalem, Yerushalayim, Israel","Speed development of peptide drugs, which have high selectivity and low toxicity",Design peptides based on a target's solved crystal structure
Peptone,2016,"London, England, United Kingdom","Reduce complexity in protein design, detect production and characterisation issues, and discover novel protein features",Predict protein features and characteristics
PharmCADD,2019,"Busan, Pusan-jikhalsi, South Korea",Leverage protein folding predictions to design de-novo drugs,Predict the structure of proteins from their amino acid sequence
Remedium,2017,"Montréal, Quebec, Canada","Reduce dependence on mass screenings, both virtual and chemical, through rapid selection of small molecule agonists, antagonists, or functional mimics of protein drug candidates",Identify minimum functional units of protein drug candidates by building specific predictive models from customized data sets
Schrödinger,1990,"New York, New York, United States",Evaluate chemical compounds in silico ahead of synthesis and assay,"Ideate, optimize, and analyze drug candidates"
TeselaGen,2011,"San Francisco, California, United States",Prototype and edit recombinant molecules for vaccines and biologic medicines,Make and modify DNA
Virvio,2015,"Seattle, Washington, United States","Mimic proven monoclonal antibodies with safer, more effective biologic alternatives","Optimize synthetic biotherapies that are easy to manufacture, shelf stable, and outperform known antibodies"
BenchSci,2015,"Toronto, Ontario, Canada","Reduce time, money, and uncertainty in planning experiments",Decode open- and closed-access data on reagents such as antibodies and present published figures with actionable insights
Desktop Genetics,2012,"London, England, United Kingdom",Improve activity and reduce experimental bias in the selection of guides for CRISPR libraries,Determine biological variables influencing CRISPR guide design
Arctoris,2016,"Oxford, Oxfordshire, United Kingdom",Configure experiments remotely and have them executed in a fully automated cloud laboratory,Generate novel insights from high-quality cancer research data gathered by a robotic system
Berkeley Lights,2011,"Emeryville, California, United States",Expedite development of cell lines and automate manufacturing of cellular therapeutics,"Automate selection, manipulation, and analysis of cells"
Emerald Cloud Lab,2010,"South San Francisco, California, United States",Run experiments in a central lab from anywhere in the world,Conduct experiments in an automated lab exactly as specified
Strateos,2012,"Menlo Park, California, United States","Generate needed data quickly and reliably with an outsourced, on-demand, automated lab",Automate sample analysis with a robotic cloud laboratory
Synthace,2011,"London, England, United Kingdom","Optimize, reproduce, automate, and scale experiment workflows","Build models to understand complex biological systems within Antha, its language and software platform for biology experiments"
BullFrog AI,2017,"Boyds, Maryland, United States",Advance therapies that fail phase 3 studies,Predict which patients will respond to therapies in development
GNS Healthcare,2000,"Cambridge, Massachusetts, United States","Deliver personalized medicine at scale, by revealing optimal health interventions for individual patients",Transform diverse streams of biomedical and healthcare data into computer models representative of individual patients
Intelligencia,2017,"New York, New York, United States",De-risk drug development at the clinical trial stage,"Estimate the risk of clinical trials, and interpret the multitude of factors that contribute to that risk"
Keen Eye Technologies,2015,"Paris, Ile-de-France, France",Increase diagnostics sensitivity and find predictive signatures of drug response,Empower pathologists to access new insights in biomedical data
Nucleai,2017,"Tel Aviv, Tel Aviv, Israel",Match patients to the right drugs based on novel pathology-based insights into which drugs might be most effective for their disease,Analyze features in pathology images more efficiently and find hidden patterns within
PathAI,2016,"Boston, Massachusetts, United States",Identify patients that would benefit from novel therapies,Improve pathology analysis
Perceiv Research,2018,"Montréal, Quebec, Canada",Improve treatment success with appropriate subject selection for clinical trials,Identify subpopulations of interest from heterogeneous data for complex diseases
Reveal Biosciences,2012,"San Diego, California, United States",Stratify patients for clinical trials,Automate histopathology
Trials.ai,2016,"San Diego, California, United States","Make it easier for patients to enroll and engage in clinical trials, eliminate unnecessary clinical operations burdens, and gain real-time insight into study health",Optimize clinical trial study design
Antidote.me,2010,"London, England, United Kingdom",Enrol more patients in appropriate trials,Make sense of unorganized and unstructured data about clinical trials
Clinithink,2009,"London, England, United Kingdom",Increase the speed of screening eligible subjects for clinical trials against trial-specific inclusion and exclusion criteria,Transform unstructured clinical notes into rich structured data
Deep 6 AI,2015,"Pasadena, California, United States",Accelerate patient recruitment to complete clinical trials faster,Analyze medical records to find patients for clinical trials
Deep Lens,2017,"Columbus, Ohio, United States",Identify and triage patients for clinical trials at the time of diagnosis,Classify digital pathology images
Inato,2016,"Paris, Ile-de-France, France",Select appropriate sites to improve patient recruitment rates and accelerate clinical trials,Screen clinical trial sites and investigators at scale
Massive Bio,2014,"New York, New York, United States",Facilitate oncology clinical trial enrollment,Match cancer patients with active clinical trials
Mendel.ai,2016,"San Jose, California, United States",Expedite clinical trial enrollment for cancer treatments,Automate matching cancer patients to clinical trials through personal medical history and genetic analysis
Notable,2014,"Foster City, California, United States","Prioritize drugs for patients with cancer, including to ensure they're enrolled in the most appropriate clinical trials",Automate evaluating the impact of drug combinations on cancer cells
Tempus,2015,"Chicago, Illinois, United States",Identify clinical trial matches for patients that fit their molecular and phenotypic profile,Analyze clinical and molecular data at scale
AiCure,2009,"New York, New York, United States",Improve medication adherence in clinical trials,Visually confirm medication ingestion via smartphone
Athelas,2016,"Mountain View, California, United States",Optimize oncology drug development with a biomarker monitoring platform and millions of patient datapoints,Analyze cancer biomarkers in 60 seconds from a drop of blood using an at-home device slightly bigger than an Amazon Echo
Biofourmis,2015,"Boston, Massachusetts, United States","Enable near real-time monitoring and management of patients to measure effectiveness, dosage variances, and adverse reactions at the individual level",Predict clinical exacerbation in advance of a critical event
Brite Health,2015,"Palo Alto, California, United States",Reduce clinical trial dropout rates through personalized communication,Analyze structured and unstructured clinical trial participant data
Doc.ai,2016,"Palo Alto, California, United States","Speed up trial operations with better recruitment, engagement, and retention","Find patterns in large volumes of healthcare data, including data that patients contribute through an app"
Imagia,2015,"Montréal, Quebec, Canada","Predict a patient's disease progression and treatment response, for clinical trial stratification and companion diagnostics",Analyze radiological images to produce clinically actionable information
Medable,2012,"Palo Alto, California, United States","Run digital trials through an end-to-end cloud platform that allows patients, sites, CROs, and sponsors to function as team",Model and predict trial success and identify and prioritize sites
Novadiscovery,2010,"Lyon, Rhone-Alpes, France",Simulate clinical trials with virtual patients and optimize clinical trial design,Model diseases and treatments based on knowledge extracted from literature and real-world patient data
PatchAi,2018,"Padova, Veneto, Italy",Improve data collection and patient retention in clinical trials,"Learn and implement strategies to support patients, adapting personality and tone of conversation to their needs"
Qynapse,2015,"Paris, Ile-de-France, France","Select patients, identify subgroups, and conduct adaptive monitoring for clinical trials","Unlock the potential of quantitative imaging for diagnosis, prognosis, and longitudinal monitoring of patients with Alzheimer's and other neurological diseases"
Unlearn.ai,2017,"San Francisco, California, United States","Populate control arms in clinical trials, enabling rigorous clinical evidence with fewer subjects",Simulate and generate digital control subjects that are statistically indistinguishable from actual controls
WinterLight Labs,2015,"Toronto, Ontario, Canada","Identify patients, screen patients, and evaluate response to therapy for clinical trials of mental health treatments",Assess and monitor cognitive health by analyzing a short speech sample
Xcures,2018,"Los Altos, California, United States","Test multiple treatments for cancer simultaneously, accelerating the development of the most promising by allocating more patients to them",Run perpetual trials for oncology by continuously learning from real world evidence about the effects of cancer drugs
nQ Medical,2016,"Cambridge, Massachusetts, United States","Optimize clinical trials for neurological diseases, including through better, faster identification of ideal study participants, less in-clinic observation, improved compliance, and earlier measure of drug impact",Find hidden health signals in data from personal devices such as laptops and smartphones
Deep Intelligent Pharma,2017,"Wangjing, Beijing, China","Save time producing documents, including regulatory documents, while ensuring content quality and data accuracy",Make the medical writing process more efficient and creative (amongst other things)
sciNote,2014,"Middleton, Wisconsin, United States","Get a ""head start"" when writing a scientific manuscript to submit for publishing",Write a draft scientific manuscript based on provided data
Aetion,2013,"New York, New York, United States",Understand which treatments work best for which patients at what times,Analyze medical and pharmacy claims data
Concerto HealthAI,2017,"Boston, Massachusetts, United States",Accelerate the generation of evidence for new therapeutic approaches,Extract insights from data on oncology patients' experience with drugs
